ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,12.69,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,12.07,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,12.02,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,12.28,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,11.27,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,49.803921,16.078432,31.764706,13.333333,11.87,101,0,25,5,400.799988,261.799988,12.382,0,0,7504,0,255
0,0,0,17.647058,0,25,-3.125,0,101,34.117645,43.92157,16.078432,31.764706,13.333333,13.36,101,0,25,5,400.799988,261.799988,10.253,0,0,7504,0,255
0,0,0,17.647058,38.431374,25,3.125,0,101,34.117645,43.92157,16.078432,31.764706,13.333333,11.43,101,0,25,5,400.799988,261.799988,10.253,0,0,7504,0,255
0,1239,0,19.607843,38.431374,25,3.125,0,35,34.117645,43.92157,16.078432,31.764706,13.333333,11.52,101,0,24,16,400.799988,261.799988,10.253,0,0,7504,0,255
0,1239,0,19.607843,38.431374,25,3.125,0,35,34.117645,43.92157,16.078432,31.764706,13.333333,11.52,101,0,24,16,400.799988,261.799988,11.972,0,0,7504,0,255
